
https://kubernetes.io/docs/reference/generated/kubernetes-api/v1.26/


The API Groups and their versions are summarized in the following table.

Group	Version
admissionregistration.k8s.io	v1, v1alpha1
apiextensions.k8s.io	v1
apiregistration.k8s.io	v1
apps	v1
authentication.k8s.io	v1, v1alpha1
authorization.k8s.io	v1
autoscaling	v2, v1
batch	v1
certificates.k8s.io	v1
coordination.k8s.io	v1
core	v1
discovery.k8s.io	v1
events.k8s.io	v1
flowcontrol.apiserver.k8s.io	v1beta3, v1beta2
internal.apiserver.k8s.io	v1alpha1
networking.k8s.io	v1, v1alpha1
node.k8s.io	v1
policy	v1
rbac.authorization.k8s.io	v1
resource.k8s.io	v1alpha1
scheduling.k8s.io	v1
storage.k8s.io	v1, v1beta1
